Publication Type,Source Title,Publication Year,Article Title,Abstract,DOI_with_Patent,Author_1,Author_2,Author_3,Author_4,Author_5,Author_6,Author_7,Author_8,Author_9,Author_10,Author_11,Author_12,Author_13,Author_14,Author_15,Author_16
P,Patente,,"Nutritional food formulation useful for controlling blood sugar of diabetic patients, contains wheat oligopeptide powder, chickpea peptide powder, Chinese yam polysaccharide, chromium yeast, complex vitamins, and complex minerals","NOVELTY - Nutritional food formulation comprises 30-40 pts. wt. wheat oligopeptide powder, 25-35 pts. wt. chickpea peptide powder, 10-20 pts. wt. marine fish skin collagen oligopeptide powder, 5-10 pts. wt. pumpkin polysaccharide, 3-7 pts. wt. Ganoderma lucidum polysaccharide, 5-10 pts. wt. Chinese yam polysaccharide, 0.1-0.15 pt. wt. freeze-dried propolis powder, 3-5 pts. wt. fructooligosaccharides, 3-5 pts. wt. galactooligosaccharides, 0.1-0.5 pt. wt. chromium yeast, 0.5-2 pts. wt. complex vitamins, 0.2-2.8 pts. wt. complex minerals and 0.8-1.5 pts. wt. essence. USE - The nutritional food formulation in form of granule or powder is useful for diabetic patients (all claimed) for controlling blood sugar level, preventing acute and chronic complications of diabetes, and reducing risk of cardiovascular disease. ADVANTAGE - The food formulation provides necessary nutrients such as proteins, carbohydrates, vitamins and minerals to diabetic patients and thus improves life quality and overall health of patients. DETAILED DESCRIPTION - An INDEPENDENT CLAIM is included for preparation method of the food formulation, which involves (a) weighing the above-mentioned raw materials, crushing weighed materials and sieving using a sieve of 40 mesh size, (b) mixing the wheat oligopeptide powder, chickpea peptide powder and marine fish skin collagen oligopeptide powder, (c) mixing the pumpkin polysaccharide, G.lucidum polysaccharide, Chinese yam polysaccharide, freeze-dried propolis powder, fructooligosaccharides, galactooligosaccharides and chromium yeast, (d) mixing the vitamins, minerals and essence with products obtained in steps (b) and (c), and (d) uniformly mixing mixture.",CN107212416-A,HUANG Q, ZHOU J,,,,,,,,,,,,,,
P,Patente,,"Composition useful for the production of medical preparation for the prophylaxis or treatment of neurological disorders, comprises bioactive amino acid and peptide, and marine oil in stable oil-in-water emulsion","NOVELTY - Composition (C1) comprises at least one bioactive amino acid and/or peptide or its derivative, and marine oil in a stable oil-in-water emulsion. USE - As therapeutic drink; and for the production of a medical preparation for the prophylaxis or treatment of neurological disorders (claimed). Also useful for Alzheimer's, Parkinson's, epilepsy, depression, schizophrenia, mild cognitive impairment, dementia, stroke, Autistic Spectrum Disorder, Asperger's syndrome, dyslexia, Tourette's syndrome, cancer, diabetes, blood pressure/cardiovascular, osteoporosis, cardiovascular conditions, oxidative stress conditions, asthma, inflammatory and respiratory disorders. ADVANTAGE - The composition shows improved delivery, improved uptake and improved health impact. Thus it provides composition combining the health promoting effect of bioactive amino acids and peptides together with the health promoting effect of omega-3 polyunsaturated fatty acids in a combined formula, revealing an oral formulation with improved bioavailability. High stability in the marine emulsion and composition enables low oxidation and keeps the vulnerable nutrients intact and potent, and makes it possible to provide tasty deliveries. DETAILED DESCRIPTION - INDEPENDENT CLAIMS are included for the following:(1) producing composition involving either a) bioactive amino acids and/or peptides and, if applicable, further water soluble additives are added to the water phase, together with a proportion of the emulsifier, b) the rest of the emulsifier, and if applicable, oil soluble additives, are added to the oil phase, c) the oil and water phase are mixed to a homogenous emulsion, d) the emulsion obtained is optionally subjected to pasteurization and/or homogenization processes, e) the obtained emulsion is cooled down and filled on clean disposable containers; or a1) a proportion of the emulsifier and, if applicable, water soluble additives are added to the water phase, b1) the rest of the emulsifier, and if applicable, oil soluble additives, are added to the oil phase, c1) the oil and water phase are mixed to a homogenous emulsion, d1) the emulsion obtained is subjected to pasteurization and/or homogenization processes, e1) bioactive amino acids and/or peptides are added to the obtained emulsion, f1) the obtained emulsion is cooled down and filled on clean disposable containers; where all steps are performed under strict oxygen control; and(2) sealed container containing composition (C1).",WO2011005113-A1; NO200902564-A; CA2764792-A1; AU2010269242-A1; EP2451439-A1; US2012148679-A1; NO201200941-A; CN102711731-A; NO333013-B1; IN201109884-P1; HK1169957-A0; NO333305-B1; AU2010269242-B2; US2014287054-A1; CN102711731-B; BR112012000115-A2; EP2451439-A4; EP3375436-A1; US10105401-B2; CA2764792-C; IN348383-B; BR112012000115-B1,MATHISEN H, MATHISEN J S,,,,,,,,,,,,,,
P,Patente,,"Nutritious healthcare food useful e.g. for preventing diabetes, tonifying kidney,spleen and stomach, and strengthening brain and bone, comprises e.g. lotus leaves extract, traditional Chinese medicine powder and preservative","NOVELTY - Nutritious healthcare food comprises 25-30 pts. wt. lotus leaves extract, 20-25 pts. wt. Chrysanthemum extract, 7-9 pts. wt. peach powder, 10-12 pts. wt. menthol powder, 2-4 pts. wt. marine collagen peptide, 2-5 pts. wt. traditional Chinese medicine powder, 2-4 pts. wt. radix astragali, 0.8-1.2 pts. wt. ginseng, 1.6-1.8 pts. wt. preservative, 3-5 pts. wt. rhizoma coptidis, 8-12 pts. wt. broccoli extract, 3-9 pts. wt. microcrystalline cellulose, 2-4 pts. wt. spina date seed, 2-3 pts. wt. Eucommia bark. USE - The healthcare food is useful for preventing diabetes (claimed), preventing toxicity and diuretic bowel movement, regulating blood lipid level, and reducing serum triglyceride and cholesterol levels, tonifying kidney,spleen and stomach, and strengthening brain and bone. ADVANTAGE - The healthcare food has no adverse reaction; and has high safety. DETAILED DESCRIPTION - Nutritious healthcare food comprises 25-30 pts. wt. lotus leaves extract, 20-25 pts. wt. Chrysanthemum extract, 7-9 pts. wt. peach powder, 10-12 pts. wt. menthol powder, 2-4 pts. wt. marine collagen peptide, 2-5 pts. wt. traditional Chinese medicine powder, 2-4 pts. wt. radix astragali, 0.8-1.2 pts. wt. ginseng, 1.6-1.8 pts. wt. preservative, 3-5 pts. wt. rhizoma coptidis, 8-12 pts. wt. broccoli extract, 3-9 pts. wt. microcrystalline cellulose, 2-4 pts. wt. spina date seed, 2-3 pts. wt. Eucommia bark. The preparation of the lotus leaves extract comprises controlling the temperature of the water to 85-95 degrees C, leaching the lotus leaves for 10-15 minutes after peeling, soaking in 0.5% aqueous sodium bicarbonate for 4-6 hours, grinding using wheel grinding slurry, sieving the slurry by 80-100-mesh sieve after using colloid mill, sieving with 100-200-mesh sieve and centrifugally separating to obtain supernatant.",CN108014188-A,ZONG R, YANG D,,,,,,,,,,,,,,
J,MARINE BIOTECHNOLOGY,2025.0,Progress in Preparation Technology and Functional Research On Marine Bioactive Peptides,"Marine bioactive peptides are a class of peptides derived from marine organisms that can optimize the body's metabolic environment and benefit the body's health. These peptides have attracted increasing amounts of attention due to their wide range of health-promoting effects. Additionally, they have the potential to ameliorate diseases such as hypertension, diabetes, influenza viruses, and inflammation and can be used as functional foods or nutritional supplements for the purpose of treating or alleviating diseases. This paper reviews the recent research progress on marine bioactive peptides, focusing on their production technologies and functions in biomaterials and drug development.",10.1007/s10126-024-10401-0,"Wang, Jing"," Li, Fengcheng"," Li, Wenjun"," Li, Yueming"," Zhang, Jian"," Qin, Song",,,,,,,,,,
P,Patente,,"Buccal tablet useful for preventing e.g. cardiovascular and cerebrovascular diseases, contains pine nut protein peptide,anthocyanin dry powder, raspberry powder, carotene, taurine, vitamin C, vitamin E, lipoic acid and cyclodextrin","NOVELTY - Buccal tablet comprises 20-40 %mass pine nut protein peptide, 10-20 %mass blueberry anthocyanin dry powder, 3-6 %mass raspberry powder, 1-2 %mass beta -carotene, 2-4 %mass taurine, 1-2 %mass vitamin C, 1-2 %mass vitamin E, 1-2 %mass alpha -lipoic acid, 8-15 %mass beta -cyclodextrin, 2-5 %mass buckwheat starch, 10-15 %mass xylitol, 2-4 %mass citric acid, 5-10 %mass fructooligosaccharides and 2-4 %mass grape powder. USE - The buccal tablet is useful for preventing diabetes syndrome, and cardiovascular and cerebrovascular diseases, improving intestinal flora, and reducing blood fat and blood pressure. The tablet is used for space station astronauts, aviation pilot, and army, marine and submarine people. ADVANTAGE - The tablet has excellent anti-oxidation effect and anti-space high-energy particle radiation, small volume and good taste.",CN107712713-A,WANG Z, ZHENG Y, JING J, CHENG C, LI J, LIU D,,,,,,,,,,
J,CURRENT PROTEIN & PEPTIDE SCIENCE,2013.0,Marine Peptides for Preventing Metabolic Syndrome,"Recently, there has been a growing in alternative prevents and therapies of marine organisms for metabolic syndrome. Marine-derived bioactive peptides attracted extensive interest due to their numerous health beneficial effects including antioxidant, antihypertensive, anti-diabetes, anti-obesity. The bioactive peptides may provide novel therapeutic applications for the prevention of metabolic syndrome. The facts summarized here may provide improvement of metabolic syndrome by peptides from marine organisms. However, further insightful researches on the prevention of metabolic syndrome by marine peptides in in vivo and clinical studies are needed to firmly establish their therapeutic potency.",,"Ko, Seok-Chun"," Jeon, You-Jin",,,,,,,,,,,,,,
J,MARINE DRUGS,2017.0,Marine Peptides as Potential Agents for the Management of Type 2 Diabetes Mellitus-A Prospect,"An increasing prevalence of diabetes is known as a main risk for human health in the last future worldwide. There is limited evidence on the potential management of type 2 diabetes mellitus using bioactive peptides from marine organisms, besides from milk and beans. We summarized here recent advances in our understanding of the regulation of glucose metabolism using bioactive peptides from natural proteins, including regulation of insulin-regulated glucose metabolism, such as protection and reparation of pancreatic beta-cells, enhancing glucose-stimulated insulin secretion and influencing the sensitivity of insulin and the signaling pathways, and inhibition of bioactive peptides to dipeptidyl peptidase IV, alpha-amylase and alpha-glucosidase activities. The present paper tried to understand the underlying mechanism involved and the structure characteristics of bioactive peptides responsible for its antidiabetic activities to prospect the utilization of rich marine organism proteins.",10.3390/md15040088,"Xia, En-Qin"," Zhu, Shan-Shan"," He, Min-Jing"," Luo, Fei"," Fu, Cheng-Zhan"," Zou, Tang-Bin",,,,,,,,,,
J,THALASSAS,2025.0,Marine-Derived Anti-diabetic Compounds: A Review of Potentials and Prospects,"Diabetes mellitus is a long-term metabolic condition characterized by high levels of glucose in the blood caused by a lack of insulin or insulin resistance, presenting a major worldwide health issue. Conventional treatments are successful but frequently have restrictions and adverse reactions, highlighting the necessity for new antidiabetic medications. This review discusses the latest progress in using marine-derived compounds for treating diabetes, focusing on active substances found in marine organisms such as algae, invertebrates, and microorganisms. Substances like terpenoids, fucoidans, and marine peptides have displayed promising effects. Specifically, fucoidan from Undaria pinnatifida has been found to enhance insulin sensitivity by 30% in preclinical studies, while peptides from Spirulina platensis have reduced postprandial glucose levels by 25%. These substances display mechanisms such as enzyme blocking and antioxidant properties, showing potential for treating diabetes and combatting drug resistance. Yet, challenges remain in the scalability and cost-efficiency of marine-derived compounds, as finding sustainable extraction methods is difficult and production costs could be higher than those of traditional treatments. The review highlights the importance of progress in green extraction and nanotechnology to improve effectiveness and availability. Incorporating these agents into current treatments has the potential to enhance treatment results, but additional comparative studies on cost and accessibility are necessary to thoroughly assess their clinical viability. This cross-disciplinary study has the potential to use marine biodiversity to create innovative, sustainable solutions for diabetes.",10.1007/s41208-025-00842-2,"Rathi, Karishma"," Gupta, Shraddha"," Motghare, Nayan"," Firdous, S. M.",,,,,,,,,,,,
P,Patente,,"Dipeptidyl-peptidase-IV inhibitor, blood-glucose-increase inhibitor and endothelial cell injury inhibitor useful for e.g. treating e.g. diabetes and diabetic microangiopathy, and reducing blood glucose level","NOVELTY - Dipeptidyl-peptidase-IV, blood-glucose-increase and endothelial cell injury inhibiting agent comprises peptide one or more amino acid sequence chosen from amino acid sequences of SEQ ID NOs: 1-3. USE - The agent is useful for inhibiting endothelial cell injury and blood glucose increase (claimed) for preventing and/or treating diseases including diabetes and its complications e.g. diabetic nephropathy, hyperglycemia, hypertension, and angiopathy. The agent is useful as pharmaceuticals, quasi-drug, skin external preparation, cosmetics and foodstuffs. The pharmaceutical is in the form of e.g. tablet, capsule, syrup formulation, granule and ointment. The foodstuffs include liquid food, feed, wheat flour products (e.g. bread), instant food (e.g. instant noodles), processed marine product (e.g. fish meat sausage), dairy products (e.g. yogurt), base seasoning (e.g. tomato seasoning), frozen food (e.g. candy and caramel) and drink (e.g. carbonated beverage). ADVANTAGE - The agent is safe as it is prepared using casein hydrolyzate. DETAILED DESCRIPTION - Dipeptidyl-peptidase-IV inhibitor, blood-glucose-increase inhibitor and endothelial cell injury inhibitor comprises one or more amino acid sequence chosen from Val-Ala (SEQ ID NO: 1), Ile-Ala (SEQ ID NO: 2) and Leu-Ala (SEQ ID NO: 3). An INDEPENDENT CLAIM is included for angiotensin converting enzyme inhibitor, which comprises amino acid sequence of SEQ ID NO: 1, and/or amino acid sequence of SEQ ID NO: 2.",JP2013184962-A; JP5877560-B2,YAMADA A, SAKURAI T, OCHI D,,,,,,,,,,,,,
J,MARINE DRUGS,2017.0,Bioactive Peptide of Marine Origin for the Prevention and Treatment of Non-Communicable Diseases,"Non-communicable diseases (NCD) are the leading cause of death and disability worldwide. The four main leading causes of NCD are cardiovascular diseases, cancers, respiratory diseases and diabetes. Recognizing the devastating impact of NCD, novel prevention and treatment strategies are extensively sought. Marine organisms are considered as an important source of bioactive peptides that can exert biological functions to prevent and treatment of NCD. Recent pharmacological investigations reported cardio protective, anticancer, antioxidative, anti-diabetic, and anti-obesity effects of marine-derived bioactive peptides. Moreover, there is available evidence supporting the utilization of marine organisms and its bioactive peptides to alleviate NCD. Marine-derived bioactive peptides are alternative sources for synthetic ingredients that can contribute to a consumer's well-being, as a part of nutraceuticals and functional foods. This contribution focus on the bioactive peptides derived from marine organisms and elaborates its possible prevention and therapeutic roles in NCD.",10.3390/md15030067,"Pangestuti, Ratih"," Kim, Se-Kwon",,,,,,,,,,,,,,
J,CRITICAL REVIEWS IN FOOD SCIENCE AND NUTRITION,2022.0,Can be marine bioactive peptides (MBAs) lead the future of foodomics for human health?,"Marine organisms are considered a cache of biologically active metabolites with pharmaceutical, functional, and nutraceutical properties. Among these, marine bioactive peptides (MBAs) present in diverse marine species (fish, sponges, cyanobacteria, fungi, ascidians, seaweeds, & mollusks) have acquired attention owing to their broad-spectrum health-promoting benefits. Nowadays, scientists are keener exploring marine bioactive peptides precisely due to their unique structural and biological properties. These MBAs have reported ameliorating potential against different diseases like hypertension, diabetes, obesity, HIV, cancer, oxidation, and inflammation. Furthermore, MBAs isolated from various marine organisms may also have a beneficial role in the cosmetic, nutraceutical, and food industries. Few marine peptides and their derivative are approved for commercial use, while many MBAs are in various pre-clinical and clinical trials. This review mainly focuses on the diversity of marine bioactive peptides in marine organisms and their production procedures, such as chemical and enzymatic hydrolysis. Moreover, MBAs' therapeutic and biological potential has also been critically discussed herein, along with their status in drug discovery, pre-clinical and clinical trials.",10.1080/10408398.2021.1910482,"Rauf, Abdur"," Khalil, Anees Ahmed"," Khan, Muneeb"," Anwar, Sirajudheen"," Alamri, Abdulwahab"," Alqarni, Abdulmalik M."," Alghamdi, Adel"," Alshammari, Farhan"," Rengasamy, Kannan R. R."," Wan, Chunpeng",,,,,,
J,JOURNAL OF FOOD SCIENCE,2018.0,"Bioactive Peptides Derived from Seaweed Protein and Their Health Benefits: Antihypertensive, Antioxidant, and Antidiabetic Properties","Cardiovascular diseases and diabetes are the biggest causes of death globally. Therefore, prevention of these diseases is a focus of pharmaceuticals and functional food manufacturers. This review summarizes recent research trends and scientific knowledge in seaweed protein-derived peptides with particular emphasis on production, isolation and potential health impacts in prevention of hypertension, diabetes and oxidative stress. The current status and future prospects of bioactive peptides are also discussed. Bioactive peptides have strong potential for use in therapeutic drug and functional food formulation in health management strategy, especially cardiovascular disease and diabetes. Seaweeds can be used as sustainable protein sources in the production of these peptide-based drugs and functional foods for preventing such diseases. Many studies have reported that peptides showing angiotensin converting enzyme inhibition, antihypertensive, antioxidative and antidiabetics activities, have been successfully isolated from seaweed. However, further research is needed in large-scale production of these peptides, efficient isolation methods, interactions with functional foods and other pharmaceuticals, and their ease to digestion in in vivo studies and safety to validate the health benefits of these peptides.",10.1111/1750-3841.14011,"Admassu, Habtamu"," Gasmalla, Mohammed Abdalbasit. A."," Yang, Ruijin"," Zhao, Wei",,,,,,,,,,,,
P,Patente,,"Polypeptide health-care dried noodles, instant noodle products is prepared by mixing raw material including wheat flour, polypeptide, soy bean, oat and buckwheat in polypeptide liquid, compressing mixture, drying and packing noodles","NOVELTY - Polypeptide health-care dried noodles or its instant noodle products is prepared by selecting raw material including wheat flour, polypeptide, soy bean, green bean, red bean, oat and buckwheat, swelling soybean and buckwheat using microwave, milling raw material to obtain fine powders (300-500 meshes), dissolving the polypeptide in warm water, mixing the dissolved polypeptide liquid with the fine powders, stirring the mixture, compressing the mixture to obtain noodles, drying, packing noodles and selling finished products. USE - The method is useful for preparing polypeptide The polypeptide noodle is useful for improving growth of children and adolescents, memory power, oxidation resistance and anti-aging, weight reduction, skin care, regulating blood fat and cholesterol, reducing blood pressure, preventing scleratheroma and heart disease, diabetes, hepatic encephalopathy, tumor or cancer, promoting enterogastric function, improving sleep for sex health, or boosting immune function (all claimed). ADVANTAGE - The polypeptide dried noodle and instant noodle have rich nutrition, high absorbability, desired flavor, and retains the shape of the noodle while cooking. DETAILED DESCRIPTION - Polypeptide health-care dried noodles or its instant noodle products is prepared using wheat grain flour with high rib, active polypeptide dry powder and fine powders of soybean or green bean. The method involves selecting raw material including wheat flour, polypeptide, soy bean, green bean, red bean, oat and buckwheat, swelling the soybean and buckwheat using microwave, milling soybean, green bean, red bean, oat and buckwheat to obtain fine powders (300-500 meshes), dissolving the polypeptide in warm water, mixing the dissolved polypeptide liquid with the fine powders, stirring the mixture, compressing the mixture to obtain noodles, drying, packing noodles and selling the finished products. The method (a) for preparing bean polypeptide noodle involves using bean polypeptide, wheat flour and fine powders of swollen bean or raw green grain ; (b) for preparing corn polypeptide noodle involves using corn polypeptide, wheat flour and fine powders of soybean or green bean ; (c) for preparing rice polypeptide noodle involves using rice polypeptide, wheat flour and fine powders of soybean or green bean; (d) for preparing green bean polypeptide noodle involves using green bean polypeptide, wheat flour and fine powders of soybean or green bean; (e) for preparing pea polypeptide noodle involves using pea polypeptide, wheat flour and fine powders of soybean or green bean; (f) for preparing oat (ring oat) polypeptide noodle involves using oat polypeptide, wheat flour, and soy bean polypeptide, rice polypeptide, corn polypeptide, green bean polypeptide or pea polypeptide; (g) for preparing buckwheat polypeptide noodle involves using wheat flour, powders of buckwheat obtained after swollen in microwave (about 300 meshes), and soy bean polypeptide, rice polypeptide, corn polypeptide, green bean polypeptide or pea polypeptide; (h) for preparing polypeptide noodle having calcium, iron, zinc and selenium elements, involves using trace elements such as calcium, iron, zinc or selenium, casein polypeptide and fine powders of soy bean or green bean; (i) for preparing polypeptide noodle for improving the growth of children and adolescents, involves using wheat flour, albumin polypeptide, lactoprotein polypeptide and fine powders of soybean or green bean; (j) for preparing polypeptide noodle for improving memory, involves using wheat flour, walnut polypeptide, brain peptide improving peptide and fine powders of soybean or green bean; (k) for preparing polypeptide noodle for oxidation resistance and anti-aging, involves using wheat flour, peanut peptide, polysaccharide peptide, silk peptide or specially prepared peptide for oxidation resistance and anti-aging and fine powders of soybean or green bean; (l) for preparing polypeptide noodle for weight reduction, involves using wheat flour, weight reduction peptide (5.2 g/60 kg of body weight/day), soy bean polypeptide, fine powders of soybean and fine powders of raw red bean; (m) for preparing polypeptide noodle for skin care and cosmetics, involves using wheat flour, collagen polypeptide, forest frog polypeptide, silk polypeptide or specially prepared peptide, fine powders of soybean and fine powders of raw red bean; (n) for preparing polypeptide noodle for regulating blood fat and cholesterol, involves using wheat flour, and soybean polypeptide, corn polypeptide, green bean polypeptide, peanut polypeptide, polysaccharide-peptide, worm grass peptide; (o) for preparing polypeptide noodle for reducing blood pressure, involves using polypeptide from milk casein including 12C peptide, 7C peptide and 6C peptide, polypeptide from fish and shellfish including 11C peptide (sardine), 8C peptide (sardine), 8C peptide (tunny) and 3C peptide (krill of south pole), and/or polypeptide from plant including soybean polypeptide, corn polypeptide, fig polypeptide and specially prepared polypeptide; (p) for preparing polypeptide noodle for preventing scleratheroma and heart disease, involves using opioid peptide, atrial natrium peptide, soy bean polypeptide, corn polypeptide, green bean polypeptide, peanut polypeptide, worm grass polypeptide or specially prepared polypeptide; (q) for preparing polypeptide noodle for preventing diabetes, involves using wheat flour, balsam pear hypoglycaemic peptide, swimming bladder peptide or specially prepared polypeptide, fine powders of balsam pear (1), and fine powders of soybean or green bean; (r) for preparing polypeptide noodle for preventing hepatic encephalopathy, involves using wheat flour, corn polypeptide, oligopeptide with high F value or specially prepared polypeptide, and fine powders of soybean or green bean; (s) for preparing polypeptide noodle or its instant noodle products for preventing tumor or cancer, involves using marine anti-cancerous peptide, polysaccharide peptide, thymosin, anticancer polypeptide from buthus martensii venom (APBMV), worm grass polypeptide, mushroom polypeptide, insect anti-tumor peptide; (t) for preparing polypeptide noodle for promoting enterogastric function, involves using albumin polypeptide, soybean peptide, collagen polypeptide, milk protein polypeptide or specially prepared peptide; (u) for preparing polypeptide noodle or its instant noodle products for improving sleep, involves using brain peptide or specially prepared peptide; (v) for preparing polypeptide noodle for improving sleep for sex health, involves using deer bone peptide, tortoise plastron peptide, glutathione or specially prepared functional peptide; or (w) for preparing polypeptide noodle for boosting immune function.",CN101258931-A,ZHANG Q,,,,,,,,,,,,,,,
