Journal,Year,Title,Abstract,DOI,Document Type,Data_Set,Author_1,Author_2,Author_3,Author_4,Author_5,Author_6,Author_7,Author_8,Author_9,Author_10,Author_11,Author_12,Author_13,Author_14,Author_15,Author_16,Author_17,Author_18,Author_19,Author_20,Author_21,Author_22,Author_23,Author_24,Author_25,Author_26,Author_27,Author_28,Author_29,Author_30
Marine biotechnology,2025,"Progress in Preparation Technology and Functional Research On Marine Bioactive 
      Peptides.","Marine bioactive peptides are a class of peptides derived from marine organisms 
      that can optimize the body's metabolic environment and benefit the body's health. 
      These peptides have attracted increasing amounts of attention due to their wide 
      range of health-promoting effects. Additionally, they have the potential to 
      ameliorate diseases such as hypertension, diabetes, influenza viruses, and 
      inflammation and can be used as functional foods or nutritional supplements for 
      the purpose of treating or alleviating diseases. This paper reviews the recent 
      research progress on marine bioactive peptides, focusing on their production 
      technologies and functions in biomaterials and drug development.",10.1007/s10126-024-10401-0 ,review,PubMed,"Wang, Jing","Li, Fengcheng","Li, Wenjun","Li, Yueming","Zhang, Jian","Qin, Song",,,,,,,,,,,,,,,,,,,,,,,,
Marine drugs,2019,"Antihypertensive and Angiotensin-I-Converting Enzyme (ACE)-Inhibitory Peptides 
      from Fish as Potential Cardioprotective Compounds.
","The term metabolic/cardiometabolic/insulin resistance syndrome could generally be 
      defined as the co-occurrence of several risk factors inclusive of systemic 
      arterial hypertension. Not only that organizations, such as the world health 
      organization (WHO) have identified high blood pressure as one of the main risk 
      factors of the cardiometabolic syndrome, but there is also a link between the 
      occurrence of insulin resistance/impaired glucose tolerance and hypertension that 
      would consequently lead to type-2 diabetes (T2D). Hypertension is medicated by 
      various classes of synthetic drugs; however, severe or mild adverse effects have 
      been repeatedly reported. To avoid and reduce these adverse effects, natural 
      alternatives, such as bioactive peptides derived from different sources have 
      drawn the attention of researchers. Among all types of biologically active 
      peptides inclusive of marine-derived ones, this paper's focus would solely be on 
      fish and fishery by-processes' extracted peptides and products. Isolation and 
      fractionation processes of these products alongside their structural, 
      compositional and digestion stability characteristics have likewise been briefly 
      discussed to better address the structure-activity relationship, expanding the 
      reader's knowledge on research and discovery trend of fish antihypertensive 
      biopeptides. Furthermore, drug-likeness of selected biopeptides was predicted by 
      Lipinski's rules to differentiate a drug-like biopeptide from nondrug-like one.",10.3390/md17110613 ,review,PubMed,"Abachi, Soheila","Bazinet, Laurent","Beaulieu, Lucie",,,,,,,,,,,,,,,,,,,,,,,,,,,
Veterinary world,2024,"Combination of curcuminoid and collagen marine peptides for healing diabetic 
      wounds infected by methicillin-resistant Staphylococcus aureus.","BACKGROUND AND AIM: The high prevalence of diabetes mellitus in Indonesia 
      indirectly reflects the high risk of developing chronic wounds that are 
      susceptible to infection. Methicillin-resistant Staphylococcus aureus (MRSA) is 
      an infectious pathogen that is resistant to various antibiotics. Therefore, 
      antibiotic therapy is ineffective enough to treat chronic hyperglycemic wounds 
      caused by MRSA infection. Curcuminoids have anti-inflammatory and antibacterial 
      effects by inhibiting the enzymatic pathways involved in the pathogenesis of 
      inflammation. Collagen is a tissue regeneration inducer. The combination of these 
      two ingredients is expected to be an alternative therapy for MRSA-infected 
      hyperglycemic chronic wounds without the risk of antibiotic resistance. The aim 
      of this study was to investigate the efficacy of hydrolacin-gel in wound healing 
      and inhibiting the growth of MRSA bacteria, as well as to determine the optimal 
      concentration of curcuminoids combined with collagen marine peptides (CMPs). 
      MATERIALS AND METHODS: Hydrolacin-gels were prepared by homogenizing curcuminoid 
      nanoemulsions and CMPs. The evaluation of preparation includes stability tests 
      and antibacterial activity tests. Wound diabetic mice were treated with various 
      combinations of curcuminoid and CMPs. Wound healing was observed based on 
      malondialdehyde levels as a marker of oxidative stress and histopathological 
      changes in the skin wound. RESULTS: Hydrolacin-gel was formulated by combining 
      curcuminoid nanoemulsion (more water soluble) and CMPs, with the ratio of formula 
      1 (1:2, curcuminoid 43.3 mg and CMPs 5.58 mg), formula 2 (1:1, curcuminoid 86.8 
      mg and CMPs 3.72), and formula 3 (2:1, curcuminoid 130.2 mg and CMPs 1.87 mg) 
      calculated based on the effective dose of curcuminoid 200 mg/kg body weight (BW) 
      and CAMPs 0.9 g/kg BW. Hydrolacin-gel had a potential antibacterial activity 
      against MRSA. Hydrolacin-gel induced wound tissue repair and reduced oxidative 
      stress caused by inflammation in diabetic-infected MRSA. Hydrolacin-gel could be 
      used for healing MRSA-infected diabetic wounds, especially formula 3 with the 
      ratio of curcuminoid: CMPs = 2:1. CONCLUSION: Hydrolacin-gel combining 
      curcuminoid nanoemulsion and CMPs effectively inhibited the inflammatory process 
      and increased re-epithelialization in MRSA-infected diabetic wound healing. 
      Hydrolacin-gel with curcuminoid (130.2 mg) and CMPs (1.87 mg) at a concentration 
      ratio of 2:1 appeared to be the best formula against MRSA infection in diabetic 
      wounds.",10.14202/vetworld.2024.933-939 ,article,PubMed,"Syah Mustofa, Dwi Ardyan","Sahari, Farhan Dio","Pramudani, Syifa Aulia","Hidayah, Alifia Brilliani","Tsany, Shabrina Farras","Isrina Oktavia Salasia, Siti",,,,,,,,,,,,,,,,,,,,,,,,
Critical reviews in food science and nutrition,2016,"Recent Research in Antihypertensive Activity of Food Protein-derived Hydrolyzates 
      and Peptides.","Year to year obesity prevalence, reduced physical activities, bad habits/or 
      stressful lifestyle, and other environmental and physiological impacts lead to 
      increase in diseases such as coronary heart disease, stroke, cancer, diabetes, 
      and hypertension worldwide. Hypertension is considered as one of the most common 
      serious chronic diseases; however, discovery of medications with high efficacy 
      and without side effects for treatment of patients remains a challenge for 
      scientists. Recent trends in functional foods have evidenced that food bioactive 
      proteins play a major role in the concepts of illness and curing; therefore, 
      nutritionists, biomedical scientists, and food scientists are working together to 
      develop improved systems for the discovery of peptides with increased potency and 
      therapeutic benefits. This review presents a recent research carried out to date 
      for the purpose of isolation and identification of bioactive hydrolyzates and 
      peptides with angiotensin I converting enzyme inhibitory activity and 
      antihypertensive effect from animal, marine, microbial, and plant food proteins. 
      Effects of food processing and hydrolyzation conditions as well as some other 
      impacts on formation, activity, and stability of these hydrolyzates and peptides 
      are also presented.",10.1080/10408398.2012.724478 ,review,PubMed,"Saleh, Ahmed S M","Zhang, Qing","Shen, Qun",,,,,,,,,,,,,,,,,,,,,,,,,,,
"Applied physiology, nutrition, and metabolism = physiologie appliquee, nutrition ",2010,"Treatment with marine collagen peptides modulates glucose and lipid metabolism in 
      Chinese patients with type 2 diabetes mellitus.","This study was aimed at examining the therapeutic effects of marine collagen 
      peptides (MCPs) from fish hydrolysate in Chinese patients with type 2 diabetes 
      mellitus (T2DM). A total of 100 diabetic patients and 50 healthy controls were 
      recruited. Diabetic patients were randomized into treatment and control groups. 
      The patients in the treatment group received an additional 13 g of MCPs daily for 
      3 months. Their blood samples were collected before, and 1.5 and 3 months after, 
      treatment to evaluate glucose and lipid metabolism. The levels of serum 
      high-sensitivity C-reactive protein (hs-CRP), nitric oxide (NO), bradykinin, 
      prostacyclin (PGI2), and adipokines were determined. Significantly reduced levels 
      of fasting blood glucose, human glycated hemoglobin A1c (GHbA1c), fasting blood 
      insulin, total triglycerides, total cholesterol, low-density lipoprotein, and 
      free-fatty acids, but increased levels of insulin sensitivity index and HDL were 
      observed in T2DM patients following treatment with MCPs for 1.5 and 3 months. The 
      values of these measures were significantly lower or higher than those of patient 
      controls (p < 0.01), respectively. Interestingly, significantly decreased levels 
      of hs-CRP and NO, but increased levels of bradykinin, PGI2, and adiponectin were 
      detected in MCP-treated T2DM patients (p < 0.01), as compared with their basal 
      values or the levels in patient controls. MCP treatment improved glucose and 
      lipid metabolism in diabetic patients.",10.1139/H10-075 ,article,PubMed,"Zhu, Cui-Feng","Li, Guan-Zhi","Peng, Hong-Bin","Zhang, Fan","Chen, Yun","Li, Yong",,,,,,,,,,,,,,,,,,,,,,,,
Marine drugs,2012,"Marine bioactives: pharmacological properties and potential applications against 
      inflammatory diseases.","Inflammation is a hot topic in medical research, because it plays a key role in 
      inflammatory diseases: rheumatoid arthritis (RA) and other forms of arthritis, 
      diabetes, heart diseases, irritable bowel syndrome, Alzheimer's disease, 
      Parkinson's disease, allergies, asthma, even cancer and many others. Over the 
      past few decades, it was realized that the process of inflammation is virtually 
      the same in different disorders, and a better understanding of inflammation may 
      lead to better treatments for numerous diseases. Inflammation is the activation 
      of the immune system in response to infection, irritation, or injury, with an 
      influx of white blood cells, redness, heat, swelling, pain, and dysfunction of 
      the organs involved. Although the pathophysiological basis of these conditions is 
      not yet fully understood, reactive oxygen species (ROS) have often been 
      implicated in their pathogenesis. In fact, in inflammatory diseases the 
      antioxidant defense system is compromised, as evidenced by increased markers of 
      oxidative stress, and decreased levels of protective antioxidant enzymes in 
      patients with rheumatoid arthritis (RA). An enriched diet containing 
      antioxidants, such as vitamin E, vitamin C, β-carotene and phenolic substances, 
      has been suggested to improve symptoms by reducing disease-related oxidative 
      stress. In this respect, the marine world represents a largely untapped reserve 
      of bioactive ingredients, and considerable potential exists for exploitation of 
      these bioactives as functional food ingredients. Substances such as n-3 oils, 
      carotenoids, vitamins, minerals and peptides provide a myriad of health benefits, 
      including reduction of cardiovascular diseases, anticarcinogenic and 
      anti-inflammatory activities. New marine bioactives are recently gaining 
      attention, since they could be helpful in combating chronic inflammatory 
      degenerative conditions. The aim of this review is to examine the published 
      studies concerning the potential pharmacological properties and application of 
      many marine bioactives against inflammatory diseases.",10.3390/md10040812 ,review,PubMed,"D'Orazio, Nicolantonio","Gammone, Maria Alessandra","Gemello, Eugenio","De Girolamo, Massimo","Cusenza, Salvatore","Riccioni, Graziano",,,,,,,,,,,,,,,,,,,,,,,,
Molecular nutrition & food research,2020,"A Narrative Review of the Anti-Hyperglycemic and Satiating Effects of Fish 
      Protein Hydrolysates and Their Bioactive Peptides.","Prevalence of type 2 diabetes and overweight/obesity are increasing globally. 
      Food supplementation as a preventative option has become an attractive option in 
      comparison to increased pharmacotherapy dependency. Hydrolysates of fish 
      processing waste and by-products have become particularly interesting in a 
      climate of increased food wastage awareness and are rapidly gaining traction in 
      food research. This review summarizes the available research so far on the 
      potential effect of these hydrolysates on diabetes and appetite suppression. 
      Scopus and Web of Science are searched using eight keywords (fish, hydrolysate, 
      peptides, satiating, insulinotropic, incretin, anti-obesity, DPP-4 
      [dipeptidylpeptidase-4/IV]) returning a total of 2549 results. Following 
      exclusion criteria (repeated appearances, non-fish marine sources [e.g., 
      macroalgae], and irrelevant bioactivities [e.g., immunomodulatory, 
      anti-thrombotic]), 44 relevant publications are included in this review. 
      Stimulation of hormone secretion, regulation of glucose uptake, anorexigenic 
      potential, identified mechanisms of action, and research conducted on the most 
      potent bioactive peptides identified within these hydrolysates are all 
      specifically addressed. Results of this review conclude that despite wide 
      methodological variation between studies, there is significant potential for the 
      application of fish protein hydrolysates in the management of bodyweight and 
      hyperglycemia.",10.1002/mnfr.202000403 ,review,PubMed,"Sharkey, Shaun J","Harnedy-Rothwell, Pádraigín A","Allsopp, Philip J","Hollywood, Lynsey E","FitzGerald, Richard J","O'Harte, Finbarr P M",,,,,,,,,,,,,,,,,,,,,,,,
The american journal of the medical sciences,2010,"Therapeutic effects of marine collagen peptides on Chinese patients with type 2 
      diabetes mellitus and primary hypertension.","INTRODUCTION: Marine collagen peptides (MCPs) from deep sea fish are shown to 
      ameliorate hyperlipidemia in animal models. The study aimed at examining the 
      effects of MCPs on glucose and lipid metabolism in Chinese patients with type 2 
      diabetes mellitus (T2DM) and primary hypertension. METHODS: One hundred patients 
      with T2DM and primary hypertension and 50 healthy subjects (normal controls) were 
      recruited for a randomized double blind study. The patients were randomized into 
      MCPs treatment or patient control groups (n = 50 per group). Both patient 
      controls and normal controls were given carboxymethylcellulose twice daily 
      whereas the MCPs treatment group was given MCPs twice daily for 3 months. Blood 
      pressure, glucose and lipid metabolism, serum high-sensitivity C-reactive 
      protein, cytochrome P450, nitric oxide, bradykinin, prostacyclin, creatinine, 
      uric acid and adipokines were measured at baseline, 1.5 and 3 months after 
      treatment. All patients received regular medicines for control of hyperglycemia 
      and hypertension. RESULTS: Compared with patient controls, significantly reduced 
      levels of fasting blood glucose, HbA1c, diastolic blood pressure, mean arterial 
      pressure and creatinine but increased levels of Insulin Sensitivity Index and 
      Insulin Secretion Index were observed in patients receiving MCPs treatment. 
      Furthermore, significantly reduced levels of serum triglycerides, total 
      cholesterol, low-density lipoprotein, free fatty acids, cytochrome P450, nitric 
      oxide and prostacyclin but increased levels of high-density lipoprotein, 
      bradykinin and adiponectin were detected in patients taking MCPs. CONCLUSIONS: 
      MCPs supplement may benefit glucose and lipid metabolism, insulin sensitivity, 
      renal function and hypertension management in Chinese patients with T2DM and 
      hypertension.",10.1097/MAJ.0b013e3181edfcf2 ,article,PubMed,"Zhu, Cui-Feng","Li, Guan-Zhi","Peng, Hong-Bin","Zhang, Fan","Chen, Yun","Li, Yong",,,,,,,,,,,,,,,,,,,,,,,,
Current pharmaceutical biotechnology,2020,"Nanoparticles Functionalized with Venom-Derived Peptides and Toxins for 
      Pharmaceutical Applications.","Venom-derived peptides display diverse biological and pharmacological activities, 
      making them useful in drug discovery platforms and for a wide range of 
      applications in medicine and pharmaceutical biotechnology. Due to their target 
      specificities, venom peptides have the potential to be developed into 
      biopharmaceuticals to treat various health conditions such as diabetes mellitus, 
      hypertension, and chronic pain. Despite the high potential for drug development, 
      several limitations preclude the direct use of peptides as therapeutics and 
      hamper the process of converting venom peptides into pharmaceuticals. These 
      limitations include, for instance, chemical instability, poor oral absorption, 
      short halflife, and off-target cytotoxicity. One strategy to overcome these 
      disadvantages relies on the formulation of bioactive peptides with nanocarriers. 
      A range of biocompatible materials are now available that can serve as 
      nanocarriers and can improve the bioavailability of therapeutic and venom-derived 
      peptides for clinical and diagnostic application. Examples of isolated venom 
      peptides and crude animal venoms that have been encapsulated and formulated with 
      different types of nanomaterials with promising results are increasingly 
      reported. Based on the current data, a wealth of information can be collected 
      regarding the utilization of nanocarriers to encapsulate venom peptides and 
      render them bioavailable for pharmaceutical use. Overall, nanomaterials arise as 
      essential components in the preparation of biopharmaceuticals that are based on 
      biological and pharmacological active venom-derived peptides.",10.2174/1389201020666190621104624 ,review,PubMed,"Dos Santos, Ana P","de Araújo, Tamara G","Rádis-Baptista, Gandhi",,,,,,,,,,,,,,,,,,,,,,,,,,,
Marine drugs,2024,"The Discovery and Characterization of a Potent DPP-IV Inhibitory Peptide from 
      Oysters for the Treatment of Type 2 Diabetes Based on Computational and 
      Experimental Studies.
","The inhibition of dipeptidyl peptidase-IV (DPP-IV) is a promising approach for 
      regulating the blood glucose levels in patients with type 2 diabetes (T2D). 
      Oysters, rich in functional peptides, contain peptides capable of inhibiting 
      DPP-IV activity. This study aims to identify the hypoglycemic peptides from 
      oysters and investigate their potential anti-T2D targets and mechanisms. This 
      research utilized virtual screening for the peptide selection, followed by in 
      vitro DPP-IV activity assays to validate the chosen peptide. Network pharmacology 
      was employed to identify the potential targets, GO terms, and KEGG pathways. 
      Molecular docking and molecular dynamics simulations were used to provide virtual 
      confirmation. The virtual screening identified LRGFGNPPT as the most promising 
      peptide among the screened oyster peptides. The in vitro studies confirmed its 
      inhibitory effect on DPP-IV activity. Network pharmacology revealed that 
      LRGFGNPPT exerts an anti-T2D effect through multiple targets and signaling 
      pathways. The key hub targets are AKT1, ACE, and REN. Additionally, the molecular 
      docking results showed that LRGFGNPPT exhibited a strong binding affinity with 
      targets like AKT1, ACE, and REN, which was further confirmed by the molecular 
      dynamics simulations showcasing a stable peptide-target interaction. This study 
      highlights the potential of LRGFGNPPT as a natural anti-T2D peptide, providing 
      valuable insights for potential future pharmaceutical or dietary interventions in 
      T2D management.",10.3390/md22080361 ,article,PubMed,"Chen, Zhongqin","Su, Xiaojie","Cao, Wenhong","Tan, Mingtang","Zhu, Guoping","Gao, Jialong","Zhou, Longjian",,,,,,,,,,,,,,,,,,,,,,,
Marine drugs,2023,"Antidiabetic Effect of Collagen Peptides from Harpadon nehereus Bones in 
      Streptozotocin-Induced Diabetes Mice by Regulating Oxidative Stress and Glucose 
      Metabolism.
","Oxidative stress and abnormal glucose metabolism are the important physiological 
      mechanisms in the occurrence and development of diabetes. Antioxidant peptides 
      have been reported to attenuate diabetes complications by regulating levels of 
      oxidative stress, but few studies have focused on peptides from marine bone 
      collagen. In this study, we prepared the peptides with a molecular weight of less 
      than 1 kD (HNCP) by enzymolysis and ultrafiltration derived from Harpadon 
      nehereus bone collagen. Furthermore, the effects of HNCP on blood glucose, blood 
      lipid, liver structure and function, oxidative stress, and glucose metabolism 
      were studied using HE staining, kit detection, and Western blotting experiment in 
      streptozocin-induced type 1 diabetes mice. After the 240 mg/kg HNCP treatment, 
      the levels of blood glucose, triglyceride (TG), and low-density lipoprotein 
      cholesterol (LDL-C) in streptozotocin-induced diabetes mice decreased by 32.8%, 
      42.2%, and 43.2%, respectively, while the levels of serum insulin and hepatic 
      glycogen increased by 142.0% and 96.4%, respectively. The antioxidant enzymes 
      levels and liver function in the diabetic mice were markedly improved after HNCP 
      intervention. In addition, the levels of nuclear factor E2-related factor 2 
      (Nrf2), glucokinase (GK), and phosphorylation of glycogen synthase kinase-3 
      (p-GSK3β) in the liver were markedly up-regulated after HNCP treatment, but the 
      glucose-6-phosphatase (G6Pase) and phosphoenolpyruvate carboxykinase1 (PEPCK1) 
      were down-regulated. In conclusion, HNCP could attenuate oxidative stress, reduce 
      blood glucose, and improve glycolipid metabolism in streptozocin-induced type 1 
      diabetes mice.",10.3390/md21100518 ,article,PubMed,"Lin, Qianxia","Guo, Yueping","Li, Jie","He, Shuqi","Chen, Yan","Jin, Huoxi",,,,,,,,,,,,,,,,,,,,,,,,
Journal of food science and technology,2017,"Effects of marine collagen peptides on glucose metabolism and insulin resistance 
      in type 2 diabetic rats.","The present study was conducted to investigate the effects of marine collagen 
      peptides (MCPs) on glucose metabolism and insulin resistance using a rat model of 
      type 2 diabetes mellitus (T2DM). Forty T2DM obese Wistar rats were randomly 
      assigned to receive varying doses of MCPs or a vehicle control for 4 weeks. Blood 
      glucose and insulin levels, as well as oxidative stress and inflammation were 
      measured. The expression of glucose transporter type 4 (GLUT4) in skeletal 
      muscles and peroxisome proliferator-activated receptor-α (PPAR-α) in livers of 
      T2DM rats was also measured. It was found that in the group of 9.0 g/kg/day MCPs 
      significantly improved glucose, insulin, and homeostatic model assessment-insulin 
      resistance, and increased the insulin sensitivity index (ISI). In addition, the 
      groups of 4.5 and 2.25 g/kg/day MCPs significantly improved liver steatosis. It 
      was also found that MCPs decreased expression of oxidative stress biomarkers and 
      inflammatory cytokines and adipocytokines in T2DM rats. In conclusion, medium and 
      high doses of MCPs (≥4.5 g/kg/day) improved glucose metabolism and insulin 
      sensitivity in T2DM rats. These beneficial effects of MCPs may be mediated by 
      decreasing oxidative stress and inflammation and by up-regulating GLUT4, and 
      PPAR-α activity.",10.1007/s13197-017-2663-z ,article,PubMed,"Zhu, CuiFeng","Zhang, Wei","Mu, Bo","Zhang, Fan","Lai, NanNan","Zhou, JianXin","Xu, AiMin","Liu, JianGuo","Li, Yong",,,,,,,,,,,,,,,,,,,,,
Lipids in health and disease,2022,"Effects of marine-derived and plant-derived omega-3 polyunsaturated fatty acids 
      on erythrocyte fatty acid composition in type 2 diabetic patients.","BACKGROUND: Dietary fatty acids intake affects the composition of erythrocyte 
      fatty acids, which is strongly correlated with glycolipid metabolism disorders. 
      This study aimed at investigating the different effects of marine-derived and 
      plant-derived omega-3 polyunsaturated fatty acid (n-3 PUFA) on the fatty acids of 
      erythrocytes and glycolipid metabolism in patients with type 2 diabetes mellitus 
      (T2DM). METHODS: The randomized double-blinded trial that was performed on 180 
      T2DM patients. The participants were randomly assigned to three groups for the 
      six-month intervention. The participants were randomly assigned to three groups 
      for the six-month intervention. The fish oil (FO) group was administered with FO 
      at a dose of 3 g/day containing eicosapentaenoic acid (EPA) and docosahexaenoic 
      acid (DHA), the perilla oil (PO) group was administered with PO at a dose of 
      3 g/day containing α-linolenic (ALA), the linseed and fish oil (LFO) group was 
      administered with mixed linseed and fish oil at a dose of 3 g/day containing EPA, 
      DHA and ALA. Demographic information were collected and anthropometric indices, 
      glucose and lipid metabolism indexes, erythrocyte fatty acid composition were 
      measured. Statistical analyses were performed using two-way ANOVA. RESULTS: A 
      total of 150 patients finished the trial, with 52 of them in the FO group, 50 in 
      the PO group and 48 in the LFO group. There were significant effects of time × 
      treatment interaction on fast blood glucose (FBG), insulin, HOMA-IR and 
      C-peptide, TC and triglyceride (TG) levels (P < 0.001). Glucose and C-peptide in 
      PO and LFO groups decreased significantly and serum TG in FO group significantly 
      decreased (P < 0.001) after the intervention. Erythrocyte C22: 5 n-6, ALA, DPA, 
      n-6/n-3 PUFA, AA/EPA levels in the PO group were significantly higher than FO and 
      LFO groups, while EPA, total n-3 PUFA and Omega-3 index were significantly higher 
      in the FO and LFO groups compared to PO group. CONCLUSION: Supplementation with 
      perilla oil decreased FBG while fish oil supplementation decreased the TG level. 
      Marine-based and plant-based n-3 PUFAs exhibit different effects on fatty acid 
      compositions of erythrocytes and regulated glycolipid metabolism. TRIAL 
      REGISTRATION: This trial was recorded under Chinese Clinical Trial Registry 
      Center (NO: ChiCTR-IOR-16008435 ) on May 28 2016.",10.1186/s12944-022-01630-0 ,article,PubMed,"Liu, Hechun","Wang, Feng","Liu, Xiaosong","Xie, Yulan","Xia, Hui","Wang, Shaokang","Sun, Guiju",,,,,,,,,,,,,,,,,,,,,,,
